Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Chad,TCD,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,26.123387,27.3543374,25.7021537,26.9706388,27.0068202,27.3784654,28.2551905,29.9436956,28.4343341,26.7968754,27.4402352,27.220965,28.4854174,27.707048
Chile,CHL,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,73.8059826,75.4676122,76.3044361,75.1706397,72.7752143,71.7692468,70.2689929,70.0470996,71.4772443,71.6978367,68.3104978,68.2520802,68.3609589,70.7252118
China,CHN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,48.8715196,49.3150533,48.7736773,48.5983195,60.8608268,61.716004,61.9022563,62.5939326,61.6672656,64.3807019,62.3749054,64.3085821,61.6310064,66.4607065
Colombia,COL,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,48.4497477,50.308668,49.2991597,50.389734,47.3102698,48.7347465,49.1031212,48.4448128,49.1252583,49.905261,49.7272276,50.7221373,51.3712487,50.521407
Comoros,COM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,19.6364633,18.3457187,20.4194254,21.6300548,25.6459333,23.9131853,25.0229682,26.1499223,25.801886,25.2242139,24.6076926,21.1626478,24.5701015,27.0562994
"Congo, Dem. Rep.",COD,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,18.7197886,19.4759277,20.7485057,24.7191457,24.1015706,22.7050622,24.4177362,22.9749957,21.8032194,20.6527595,18.6573441,18.1892974,17.6222884,19.1032577
"Congo, Rep.",COG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,29.6078546,29.8896101,30.9720606,29.7639123,33.2695369,35.1011694,35.5456286,34.452266,32.3426501,33.0230392,28.522118,28.2100045,29.3419712,28.6504582
Cook Islands,COK,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,41.780233,42.2585812,36.0104923,36.0262031,36.6615286,36.5443784,..,..,..,..,..,..,51.9664457,52.0983889
Costa Rica,CRI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,59.1700876,58.4202309,59.7703284,57.9180366,58.4756853,58.3338139,57.4755918,57.8331129,58.2016549,57.2585713,55.7310024,56.619285,53.6977704,57.8366245
Cote d'Ivoire,CIV,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,27.0081055,27.8419914,30.6005962,33.3779839,37.3050032,39.6748365,39.4727587,39.7545161,41.464396,41.8297433,41.8599477,41.6068526,44.4409236,45.1473715
Croatia,HRV,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,56.9187831,56.0184181,59.1426463,59.4215338,59.6165223,56.3326237,56.492053,59.1971848,60.9216088,59.489619,61.1725164,66.0362591,65.266939,65.8990155
Cuba,CUB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,39.7525017,39.7425542,42.1090936,42.1116116,51.3083356,51.2895644,50.658147,50.0984373,47.2258128,49.2365733,49.2032171,49.4420441,51.7255071,51.3036807
Cyprus,CYP,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,80.0872935,80.4883167,80.215801,79.967882,73.0995288,72.2822422,71.7249844,73.013106,68.0766854,70.7350252,70.8350822,68.0623357,69.8303144,69.4521321
Czechia,CZE,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,65.2210394,65.761941,65.507341,64.8149452,68.8746252,69.4313931,70.9387577,71.3371618,71.2863312,70.2287496,72.4487589,72.7485643,74.5789641,75.3620856
Denmark,DNK,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,88.674883,91.0587374,89.5815207,89.431129,86.5250025,86.2304917,87.0248227,86.8339582,88.6832634,89.1490916,90.227523,93.9328863,92.1406221,89.37227
Djibouti,DJI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,37.1610864,37.2413182,36.3886921,37.3089426,37.9137352,36.7102806,37.479315,36.1890273,36.329487,38.6444045,38.2156211,38.7465615,40.4871979,40.9149061
Dominica,DMA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,64.7178574,63.2706778,63.2755427,63.2809773,53.6844921,53.6439727,52.2301999,42.418553,42.443663,42.4681391,43.8260959,43.8675777,50.9083643,58.8922909
Dominican Republic,DOM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,37.5182672,38.2440211,41.6009825,43.2203855,49.1620833,45.4478652,46.6104504,45.2306502,44.4024905,45.5172726,44.3335692,48.4209842,48.9863657,52.2308591
Ecuador,ECU,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,41.9319742,45.486693,45.6624591,47.7255844,49.24823,47.5719747,48.3617013,48.5679071,47.1982412,47.5431334,44.6613118,49.1871136,51.3720731,48.1801661
